ID PUMA,PUMA,ID Year,Year,Total Population,Slug PUMA,
79500US1700104,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA, IL",2018,2018,127093,jo-daviess-carroll-whiteside-lee-counties-puma-il,
79500US1700105,"Rock Island County PUMA, IL",2018,2018,145347,rock-island-county-puma-il,
79500US1700202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA, IL",2018,2018,174029,henry-mercer-henderson-warren-hancock-mcdonough-fulton-counties-puma-il,
79500US1700300,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA, IL",2018,2018,109529,adams-pike-brown-schuyler-mason-counties-puma-il,
79500US1700401,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA, IL",2018,2018,138060,cass-morgan-scott-greene-macoupin-jersey-calhoun-counties-puma-il,
79500US1700501,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA, IL",2018,2018,139203,montgomery-bond-clinton-fayette-effingham-counties-puma-il,
79500US1700600,"Douglas, Edgar, Coles & Cumberland Counties PUMA, IL",2018,2018,99875,douglas-edgar-coles-cumberland-counties-puma-il,
79500US1700700,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA, IL",2018,2018,106223,clark-jasper-crawford-lawrence-richland-clay-wayne-counties-puma-il,
79500US1700800,"South & Southeast Illinois PUMA, IL",2018,2018,134167,south-southeast-illinois-puma-il,
79500US1700900,"Jackson, Williamson, Franklin & Perry Counties PUMA, IL",2018,2018,186504,jackson-williamson-franklin-perry-counties-puma-il,
79500US1701001,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA, IL",2018,2018,156875,monroe-randolph-washington-jefferson-marion-counties-puma-il,
79500US1701104,"St. Clair County (Central & Northeast) PUMA, IL",2018,2018,148753,st-clair-county-central-northeast-puma-il,
79500US1701105,"St. Clair County (Northwest, Southwest & Southeast) PUMA, IL",2018,2018,114579,st-clair-county-northwest-southwest-southeast-puma-il,
79500US1701204,"Madison County (East) PUMA, IL",2018,2018,121634,madison-county-east-puma-il,
79500US1701205,"Granite City, Alton, Wood River Cities & Godfrey Village PUMA, IL",2018,2018,144075,granite-city-alton-wood-river-cities-godfrey-village-puma-il,
79500US1701300,"Springfield City PUMA, IL",2018,2018,197821,springfield-city-puma-il,
79500US1701500,"Decatur City PUMA, IL",2018,2018,106739,decatur-city-puma-il,
79500US1701602,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA, IL",2018,2018,143675,menard-logan-de-witt-piatt-moultrie-shelby-christian-counties-puma-il,
79500US1701701,"Peoria City PUMA, IL",2018,2018,184658,peoria-city-puma-il,
79500US1701900,"Tazewell County PUMA, IL",2018,2018,133874,tazewell-county-puma-il,
79500US1702000,"McLean County PUMA, IL",2018,2018,173118,mclean-county-puma-il,
79500US1702100,"Champaign & Urbana Cities PUMA, IL",2018,2018,209712,champaign-urbana-cities-puma-il,
79500US1702200,"Livingston, Ford, Iroquois & Vermilion Counties PUMA, IL",2018,2018,156157,livingston-ford-iroquois-vermilion-counties-puma-il,
79500US1702300,"Kankakee County PUMA, IL",2018,2018,111081,kankakee-county-puma-il,
79500US1702400,"LaSalle County PUMA, IL",2018,2018,110487,lasalle-county-puma-il,
79500US1702501,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA, IL",2018,2018,146147,knox-stark-bureau-marshall-woodford-counties-puma-il,
79500US1702601,"DeKalb County PUMA, IL",2018,2018,104258,dekalb-county-puma-il,
79500US1702700,"Stephenson & Ogle Counties PUMA, IL",2018,2018,96744,stephenson-ogle-counties-puma-il,
79500US1702801,"Rockford City PUMA, IL",2018,2018,197470,rockford-city-puma-il,
79500US1702901,"Winnebago (Northeast) & Boone Counties PUMA, IL",2018,2018,142473,winnebago-northeast-boone-counties-puma-il,
79500US1703005,"Aurora Township PUMA, IL",2018,2018,148475,aurora-township-puma-il,
79500US1703007,"St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA, IL",2018,2018,117995,st-charles-batavia-central-geneva-central-townships-puma-il,
79500US1703008,"Elgin (North & Central) & Dundee Townships PUMA, IL",2018,2018,141062,elgin-north-central-dundee-townships-puma-il,
79500US1703009,"Kane County (West) PUMA, IL",2018,2018,123466,kane-county-west-puma-il,
79500US1703102,"Joliet & Troy Townships PUMA, IL",2018,2018,134221,joliet-troy-townships-puma-il,
79500US1703105,"Plainfield & Lockport Townships PUMA, IL",2018,2018,142056,plainfield-lockport-townships-puma-il,
79500US1703106,"DuPage & Wheatland Townships PUMA, IL",2018,2018,173098,dupage-wheatland-townships-puma-il,
79500US1703107,"Frankfort, Homer & New Lenox (North) Townships PUMA, IL",2018,2018,125912,frankfort-homer-new-lenox-north-townships-puma-il,
79500US1703108,"Will County (South) PUMA, IL",2018,2018,113389,will-county-south-puma-il,
79500US1703202,"Milton Township PUMA, IL",2018,2018,118249,milton-township-puma-il,
79500US1703203,"Lisle Township PUMA, IL",2018,2018,119922,lisle-township-puma-il,
79500US1703204,"Downers Grove Township PUMA, IL",2018,2018,148979,downers-grove-township-puma-il,
79500US1703205,"York Township PUMA, IL",2018,2018,125848,york-township-puma-il,
79500US1703207,"Addison & Bloomingdale (North) Townships PUMA, IL",2018,2018,117719,addison-bloomingdale-north-townships-puma-il,
79500US1703208,"Bloomingdale (South), Wayne & Winfield (North) Townships PUMA, IL",2018,2018,178777,bloomingdale-south-wayne-winfield-north-townships-puma-il,
79500US1703209,"Naperville & Winfield (South) Townships PUMA, IL",2018,2018,121909,naperville-winfield-south-townships-puma-il,
79500US1703306,"Avon, Lake Villa, Antioch & Grant Townships PUMA, IL",2018,2018,158919,avon-lake-villa-antioch-grant-townships-puma-il,
79500US1703307,"Waukegan, Zion, Benton & Newport Townships PUMA, IL",2018,2018,139528,waukegan-zion-benton-newport-townships-puma-il,
79500US1703308,"Ela, Freemont, Wauconda & Cuba Townships PUMA, IL",2018,2018,117015,ela-freemont-wauconda-cuba-townships-puma-il,
79500US1703309,"Warren, Libertyville (North & East) & Shields Townships PUMA, IL",2018,2018,152741,warren-libertyville-north-east-shields-townships-puma-il,
79500US1703310,"Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA, IL",2018,2018,135018,vernon-moraine-west-deerfield-libertyville-southeast-townships-puma-il,
79500US1703401,"Palatine & Barrington Townships PUMA, IL",2018,2018,127399,palatine-barrington-townships-puma-il,
79500US1703407,"Proviso, Riverside & River Forest Townships PUMA, IL",2018,2018,177195,proviso-riverside-river-forest-townships-puma-il,
79500US1703408,"Cicero, Berwyn & Oak Park Townships PUMA, IL",2018,2018,191332,cicero-berwyn-oak-park-townships-puma-il,
79500US1703409,"Lyons & Stickney Townships PUMA, IL",2018,2018,153381,lyons-stickney-townships-puma-il,
79500US1703410,"Orland (West & Central), Palos & Lemont Townships PUMA, IL",2018,2018,176066,orland-west-central-palos-lemont-townships-puma-il,
79500US1703411,"Worth & Calumet Townships PUMA, IL",2018,2018,172694,worth-calumet-townships-puma-il,
79500US1703412,"Bremen & Orland (East) Townships PUMA, IL",2018,2018,109796,bremen-orland-east-townships-puma-il,
79500US1703413,"Thornton Township PUMA, IL",2018,2018,168370,thornton-township-puma-il,
79500US1703414,"Bloom & Rich Townships PUMA, IL",2018,2018,167656,bloom-rich-townships-puma-il,
79500US1703415,"Wheeling Township (North & East) PUMA, IL",2018,2018,128105,wheeling-township-north-east-puma-il,
79500US1703416,"Northfield & New Trier Townships PUMA, IL",2018,2018,144033,northfield-new-trier-townships-puma-il,
